timestamp,tti,rnti,event_type,pdsch_nof_prb,pdsch_nof_re,pdsch_tbs,pdsch_mod,pdsch_rv,pusch_rb_start,pusch_rb_len,pusch_nof_re,pusch_tbs,pusch_mod,pusch_rv,pusch_crc,pusch_snr_db,pusch_epre_dbfs,pusch_ta_us,pusch_cfo_hz,pusch_proc_us,pucch_format,pucch_snr_db,pucch_corr,pucch_sr,pucch_cqi,pucch_ack,phr_db,bsr_lc0,bsr_lc1,bsr_lc2,bsr_lc3,epoch_s,gnb,phase,handover_phase,prb_util_pct,dl_mod_label,ul_mod_label
2026-08-18T10:08:38.668730,7059,0x46,PDSCH,15,2250,1063,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047718.668730,gnb1,ramp,pre,30.0,64QAM,
2026-08-18T10:08:38.841988,7065,0x46,PUSCH,,,,,,2,3,288,113,4,0,OK,117.8,149.4,0.0,-0.0,70,,,,,,,,,,,,1787047718.841988,gnb1,ramp,pre,6.0,,16QAM
2026-08-18T10:08:38.954162,7068,0x46,PUSCH,,,,,,2,9,1152,437,4,0,OK,114.2,143.4,0.0,-0.0,248,,,,,,,,,,,,1787047718.954162,gnb1,ramp,pre,18.0,,16QAM
2026-08-18T10:08:38.973583,7069,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047718.973583,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.002891,7070,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.002891,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.027078,7071,0x46,PDSCH,50,7356,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.027078,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.044488,7072,0x46,PDSCH,42,6300,3182,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.044488,gnb1,ramp,pre,84.0,64QAM,
2026-08-18T10:08:39.121004,7074,0x46,PUSCH,,,,,,2,9,1152,437,4,0,OK,114.3,143.3,0.0,0.0,155,,,,,,,,,,,,1787047719.121004,gnb1,ramp,pre,18.0,,16QAM
2026-08-18T10:08:39.144609,7075,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.144609,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.163542,7076,0x46,PUSCH,,,,,,2,9,1152,437,4,0,OK,114.2,143.4,0.0,0.0,154,,,,,,,,,,,,1787047719.163542,gnb1,ramp,pre,18.0,,16QAM
2026-08-18T10:08:39.163642,7076,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047719.163642,gnb1,ramp,pre,,,
2026-08-18T10:08:39.164185,7076,0x46,PDSCH,50,7080,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.164185,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.164661,7077,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047719.164661,gnb1,ramp,pre,,,
2026-08-18T10:08:39.165010,7077,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.165010,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.212894,7078,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.212894,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.268705,7079,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.268705,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.269743,7080,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.269743,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.347088,7082,0x46,PUSCH,,,,,,2,9,1152,437,4,0,OK,114.2,143.4,0.0,0.0,232,,,,,,,,,,,,1787047719.347088,gnb1,ramp,pre,18.0,,16QAM
2026-08-18T10:08:39.347377,7082,0x46,PDSCH,9,1350,597,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.347377,gnb1,ramp,pre,18.0,64QAM,
2026-08-18T10:08:39.391031,7083,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047719.391031,gnb1,ramp,pre,,,
2026-08-18T10:08:39.391535,7083,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.391535,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.392015,7084,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047719.392015,gnb1,ramp,pre,,,
2026-08-18T10:08:39.392514,7084,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.392514,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.451920,7085,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.451920,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.452910,7086,0x46,PDSCH,50,7080,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.452910,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.520994,7087,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.520994,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.681431,7093,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.681431,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.704957,7094,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.704957,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:39.737075,7095,0x46,PDSCH,45,6750,3542,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.737075,gnb1,ramp,pre,90.0,64QAM,
2026-08-18T10:08:39.938360,7101,0x46,PHR,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,1787047719.938360,gnb1,ramp,pre,,,
2026-08-18T10:08:39.977324,7102,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047719.977324,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.002580,7103,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.002580,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.031524,7104,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.031524,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.046898,7105,0x46,PDSCH,42,6300,3182,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.046898,gnb1,ramp,pre,84.0,64QAM,
2026-08-18T10:08:40.193715,7109,0x46,PUSCH,,,,,,2,11,1440,621,4,0,OK,110.0,142.4,0.0,0.0,212,,,,,,,,,,,,1787047720.193715,gnb1,ramp,pre,22.0,,16QAM
2026-08-18T10:08:40.221272,7110,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.221272,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.255989,7111,0x46,PDSCH,50,7356,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.255989,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.256832,7112,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.256832,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.278357,7113,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.278357,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.344871,7114,0x46,PDSCH,36,5400,2769,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.344871,gnb1,ramp,pre,72.0,64QAM,
2026-08-18T10:08:40.438290,7117,0x46,PUSCH,,,,,,2,11,1440,621,4,0,OK,110.0,142.4,0.0,0.0,304,,,,,,,,,,,,1787047720.438290,gnb1,ramp,pre,22.0,,16QAM
2026-08-18T10:08:40.500769,7119,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.500769,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.531696,7120,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.531696,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.559940,7121,0x46,PDSCH,47,6906,4395,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.559940,gnb1,ramp,pre,94.0,64QAM,
2026-08-18T10:08:40.560882,7122,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.560882,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.612627,7123,0x46,PDSCH,39,5850,2961,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.612627,gnb1,ramp,pre,78.0,64QAM,
2026-08-18T10:08:40.675719,7125,0x46,PUSCH,,,,,,2,11,1440,621,4,0,OK,110.0,142.4,0.0,-0.0,198,,,,,,,,,,,,1787047720.675719,gnb1,ramp,pre,22.0,,16QAM
2026-08-18T10:08:40.698119,7126,0x46,PUSCH,,,,,,2,6,720,269,4,0,OK,117.9,145.4,0.0,0.0,136,,,,,,,,,,,,1787047720.698119,gnb1,ramp,pre,12.0,,16QAM
2026-08-18T10:08:40.698669,7126,0x46,PDSCH,50,7080,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.698669,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.699263,7127,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047720.699263,gnb1,ramp,pre,,,
2026-08-18T10:08:40.699732,7127,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.699732,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.758343,7128,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047720.758343,gnb1,ramp,pre,,,
2026-08-18T10:08:40.758788,7128,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.758788,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.759797,7129,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.759797,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.789807,7130,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.789807,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.864396,7131,0x46,PDSCH,50,7356,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.864396,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.896140,7132,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.896140,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.922365,7133,0x46,PUSCH,,,,,,2,11,1440,621,4,0,OK,110.0,142.3,0.0,0.0,202,,,,,,,,,,,,1787047720.922365,gnb1,ramp,pre,22.0,,16QAM
2026-08-18T10:08:40.922400,7133,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047720.922400,gnb1,ramp,pre,,,
2026-08-18T10:08:40.922743,7133,0x46,PDSCH,21,3150,1692,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.922743,gnb1,ramp,pre,42.0,64QAM,
2026-08-18T10:08:40.961663,7134,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047720.961663,gnb1,ramp,pre,,,
2026-08-18T10:08:40.962194,7134,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.962194,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:40.962784,7135,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047720.962784,gnb1,ramp,pre,,,
2026-08-18T10:08:40.963294,7135,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047720.963294,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.021296,7136,0x46,PDSCH,50,7080,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.021296,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.038379,7137,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.038379,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.080062,7138,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.080062,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.412359,7148,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.8,0.0,0.0,184,,,,,,,,,,,,1787047721.412359,gnb1,ramp,pre,20.0,,16QAM
2026-08-18T10:08:41.434059,7149,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.434059,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.471585,7150,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.471585,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.495977,7151,0x46,PDSCH,50,7356,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.495977,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.532308,7152,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.532308,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.553740,7153,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.553740,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.591298,7154,0x46,PDSCH,30,4500,2385,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.591298,gnb1,ramp,pre,60.0,64QAM,
2026-08-18T10:08:41.702025,7157,0x46,PHR,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,1787047721.702025,gnb1,ramp,pre,,,
2026-08-18T10:08:41.740435,7158,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.740435,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.762544,7159,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.762544,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.803326,7160,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.803326,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.804266,7161,0x46,PDSCH,47,6906,4395,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.804266,gnb1,ramp,pre,94.0,64QAM,
2026-08-18T10:08:41.856067,7162,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.856067,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.856962,7163,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.856962,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.910612,7164,0x46,PDSCH,48,7200,3662,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.910612,gnb1,ramp,pre,96.0,64QAM,
2026-08-18T10:08:41.925826,7165,0x46,PUSCH,,,,,,2,11,1440,621,4,0,OK,110.0,142.4,0.0,-0.0,198,,,,,,,,,,,,1787047721.925826,gnb1,ramp,pre,22.0,,16QAM
2026-08-18T10:08:41.925908,7165,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047721.925908,gnb1,ramp,pre,,,
2026-08-18T10:08:41.953508,7166,0x46,PDSCH,50,7080,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.953508,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:41.981826,7167,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047721.981826,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.018046,7168,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.018046,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.040546,7169,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.040546,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.072539,7170,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.072539,gnb1,ramp,pre,100.0,64QAM,
