epoch_s,datetime_utc,gnb,target_bw_mbps,handover_phase,tti,nof_ues,dl_brate_bps,ul_brate_bps,proc_rmem_pct,proc_rmem_kB,proc_vmem_kB,sys_mem_pct,system_load,thread_count,cpu_0_pct,cpu_1_pct,cpu_2_pct,cpu_3_pct,cpu_4_pct,cpu_5_pct,cpu_6_pct,cpu_7_pct,cpu_8_pct,cpu_9_pct,cpu_10_pct,cpu_11_pct,cpu_12_pct,cpu_13_pct,cpu_14_pct,cpu_15_pct,cpu_16_pct,cpu_17_pct,cpu_18_pct,cpu_19_pct,cpu_20_pct,cpu_21_pct,cpu_22_pct,cpu_23_pct,cpu_24_pct,cpu_25_pct,cpu_26_pct,cpu_27_pct,cpu_28_pct,cpu_29_pct,cpu_30_pct,cpu_31_pct,cpu_mean_pct,cpu_max_pct,cpu_active_cores,gnb_pkg0_watts,gnb_total_watts,nof_ues_on_gnb
1787047839.000,2026-08-18T10:10:39.000Z,gnb1,1,pre,60000,1,0.0,0.0,1.3,855588,1666488,66,0.72,15,50.0,42.0,50.0,37.0,49.0,38.0,49.0,40.0,49.0,36.0,46.0,39.0,50.0,40.0,53.0,39.0,54.0,39.0,54.0,38.0,53.0,37.0,53.0,40.0,53.0,35.0,52.0,39.0,53.0,37.0,50.0,39.0,44.781,54.0,32,22.390,46.206,50
1787047844.000,2026-08-18T10:10:44.000Z,gnb1,1,pre,65000,1,0.0,0.0,1.3,855588,1666488,66,0.72,15,49.0,38.0,48.0,41.0,49.0,36.0,48.0,39.0,50.0,41.0,47.0,41.0,49.0,39.0,54.0,40.0,54.0,40.0,54.0,42.0,54.0,35.0,54.0,40.0,54.0,39.0,55.0,41.0,53.0,40.0,51.0,39.0,45.438,55.0,32,22.390,46.206,50
1787047849.000,2026-08-18T10:10:49.000Z,gnb1,1,pre,70000,1,0.0,0.0,1.3,855588,1666488,66,0.75,15,49.0,38.0,49.0,40.0,50.0,38.0,49.0,40.0,49.0,39.0,48.0,41.0,48.0,38.0,53.0,39.0,53.0,37.0,53.0,38.0,54.0,40.0,52.0,40.0,52.0,38.0,54.0,37.0,52.0,38.0,51.0,41.0,44.938,54.0,32,22.390,46.206,50
1787047854.000,2026-08-18T10:10:54.000Z,gnb1,1,pre,75000,1,0.0,0.0,1.3,855588,1666488,67,0.72,15,50.0,41.0,49.0,36.0,48.0,38.0,47.0,39.0,49.0,38.0,47.0,39.0,48.0,37.0,53.0,38.0,53.0,42.0,53.0,36.0,53.0,37.0,54.0,39.0,53.0,37.0,54.0,39.0,53.0,38.0,51.0,40.0,44.656,54.0,32,22.390,46.206,50
1787047859.000,2026-08-18T10:10:59.000Z,gnb1,1,pre,80000,1,0.0,0.0,1.3,855588,1666488,67,0.72,15,49.0,37.0,49.0,38.0,48.0,37.0,48.0,39.0,47.0,39.0,46.0,42.0,50.0,41.0,53.0,41.0,54.0,42.0,53.0,40.0,53.0,37.0,54.0,37.0,50.0,39.0,54.0,40.0,54.0,41.0,50.0,41.0,45.094,54.0,32,22.390,46.206,50
1787047864.000,2026-08-18T10:11:04.000Z,gnb1,1,pre,85000,1,0.0,0.0,1.3,855588,1666488,67,0.69,15,50.0,38.0,49.0,38.0,48.0,36.0,48.0,38.0,48.0,35.0,47.0,38.0,48.0,38.0,54.0,36.0,53.0,41.0,54.0,39.0,55.0,37.0,53.0,40.0,52.0,36.0,52.0,37.0,54.0,38.0,50.0,36.0,44.25,55.0,32,22.390,46.206,50
1787047869.000,2026-08-18T10:11:09.000Z,gnb1,1,pre,90000,1,0.0,0.0,1.3,855588,1666488,67,0.69,15,50.0,38.0,49.0,38.0,49.0,36.0,49.0,38.0,51.0,34.0,47.0,43.0,48.0,38.0,48.0,40.0,53.0,41.0,54.0,39.0,54.0,36.0,54.0,37.0,54.0,39.0,55.0,42.0,52.0,35.0,46.0,40.0,44.594,55.0,32,22.390,46.206,50
1787047874.000,2026-08-18T10:11:14.000Z,gnb1,1,pre,95000,1,0.0,0.0,1.3,855588,1666488,68,0.72,15,51.0,35.0,49.0,33.0,50.0,33.0,49.0,38.0,50.0,34.0,48.0,37.0,49.0,33.0,55.0,34.0,55.0,35.0,54.0,34.0,54.0,35.0,54.0,39.0,54.0,34.0,54.0,39.0,54.0,34.0,51.0,33.0,43.469,55.0,32,22.390,46.206,50
1787047879.000,2026-08-18T10:11:19.000Z,gnb1,1,pre,100000,1,0.0,0.0,1.3,855588,1666488,68,0.72,15,49.0,37.0,48.0,40.0,48.0,37.0,48.0,39.0,47.0,43.0,45.0,41.0,48.0,41.0,51.0,37.0,51.0,38.0,51.0,39.0,52.0,39.0,51.0,37.0,51.0,40.0,52.0,41.0,52.0,39.0,48.0,40.0,44.375,52.0,32,22.390,46.206,50
1787047884.000,2026-08-18T10:11:24.000Z,gnb1,1,pre,105000,1,0.0,0.0,1.3,855588,1666488,68,0.75,15,50.0,41.0,50.0,41.0,50.0,36.0,49.0,37.0,50.0,40.0,48.0,37.0,50.0,39.0,54.0,37.0,54.0,40.0,54.0,37.0,54.0,38.0,54.0,38.0,54.0,41.0,55.0,40.0,56.0,38.0,51.0,38.0,45.344,56.0,32,22.390,46.206,50
1787047887.000,2026-08-18T10:11:27.000Z,gnb1,2,pre,0,0,0.0,0.0,1.2,808792,1398680,59,0.50,15,35.0,36.0,34.0,34.0,35.0,35.0,35.0,34.0,34.0,36.0,37.0,35.0,35.0,35.0,35.0,35.0,37.0,36.0,37.0,32.0,37.0,36.0,36.0,36.0,35.0,37.0,37.0,36.0,35.0,36.0,35.0,36.0,35.438,37.0,32,22.390,46.206,50
1787047889.000,2026-08-18T10:11:29.000Z,gnb1,1,pre,110000,1,0.0,0.0,1.3,855588,1666488,68,0.69,15,49.0,42.0,48.0,38.0,49.0,40.0,46.0,39.0,48.0,40.0,47.0,42.0,49.0,40.0,52.0,40.0,52.0,43.0,53.0,40.0,53.0,39.0,52.0,38.0,52.0,38.0,53.0,41.0,52.0,40.0,50.0,39.0,45.125,53.0,32,22.390,46.206,50
1787047892.000,2026-08-18T10:11:32.000Z,gnb1,2,pre,5000,1,0.0,0.0,1.3,855588,1666488,63,0.75,15,50.0,40.0,49.0,41.0,47.0,40.0,50.0,38.0,49.0,41.0,49.0,35.0,49.0,40.0,52.0,38.0,55.0,40.0,53.0,40.0,52.0,40.0,54.0,37.0,54.0,39.0,55.0,36.0,54.0,38.0,50.0,38.0,45.094,55.0,32,22.390,46.206,50
1787047894.000,2026-08-18T10:11:34.000Z,gnb1,1,pre,115000,1,0.0,0.0,1.3,855588,1666488,68,0.75,15,50.0,41.0,49.0,40.0,47.0,44.0,47.0,43.0,49.0,46.0,47.0,44.0,49.0,43.0,52.0,44.0,55.0,43.0,53.0,42.0,53.0,43.0,53.0,42.0,54.0,45.0,55.0,41.0,54.0,43.0,50.0,44.0,47.031,55.0,32,22.390,46.206,50
1787047897.000,2026-08-18T10:11:37.000Z,gnb1,2,pre,10000,1,0.0,0.0,1.3,855588,1666488,63,0.75,15,47.0,44.0,50.0,42.0,50.0,43.0,49.0,43.0,50.0,42.0,49.0,41.0,52.0,40.0,55.0,42.0,52.0,45.0,54.0,39.0,53.0,43.0,54.0,40.0,54.0,44.0,54.0,45.0,54.0,43.0,51.0,41.0,47.031,55.0,32,22.390,46.206,50
1787047899.000,2026-08-18T10:11:39.000Z,gnb1,1,pre,120000,1,0.0,0.0,1.3,855588,1666488,68,0.69,15,48.0,30.0,48.0,40.0,47.0,39.0,48.0,35.0,47.0,37.0,46.0,37.0,47.0,31.0,50.0,36.0,52.0,31.0,52.0,39.0,52.0,39.0,52.0,39.0,52.0,37.0,52.0,37.0,52.0,31.0,48.0,37.0,42.75,52.0,32,22.390,46.206,50
1787047902.000,2026-08-18T10:11:42.000Z,gnb1,2,pre,15000,1,0.0,0.0,1.3,855588,1666488,64,0.72,15,48.0,39.0,49.0,41.0,49.0,41.0,46.0,42.0,47.0,41.0,45.0,40.0,45.0,39.0,47.0,39.0,52.0,39.0,52.0,42.0,53.0,42.0,52.0,39.0,52.0,43.0,52.0,39.0,50.0,38.0,45.0,41.0,44.656,53.0,32,22.390,46.206,50
1787047904.000,2026-08-18T10:11:44.000Z,gnb1,1,pre,125000,1,0.0,0.0,1.3,855588,1666488,68,0.69,15,49.0,35.0,49.0,37.0,48.0,33.0,48.0,36.0,48.0,39.0,46.0,36.0,48.0,38.0,51.0,38.0,52.0,35.0,52.0,39.0,54.0,33.0,52.0,36.0,53.0,39.0,52.0,35.0,52.0,38.0,48.0,37.0,43.312,54.0,32,22.390,46.206,50
1787047907.000,2026-08-18T10:11:47.000Z,gnb1,2,pre,20000,1,0.0,0.0,1.3,855588,1666488,64,0.75,15,49.0,39.0,50.0,39.0,50.0,38.0,48.0,39.0,50.0,42.0,47.0,34.0,49.0,40.0,51.0,40.0,54.0,37.0,54.0,40.0,53.0,38.0,54.0,39.0,53.0,40.0,54.0,37.0,54.0,39.0,50.0,39.0,45.0,54.0,32,22.390,46.206,50
1787047909.000,2026-08-18T10:11:49.000Z,gnb1,1,pre,130000,1,0.0,0.0,1.3,855588,1666488,69,0.72,15,50.0,39.0,50.0,40.0,50.0,32.0,50.0,38.0,51.0,39.0,48.0,38.0,50.0,40.0,55.0,37.0,54.0,41.0,54.0,41.0,54.0,35.0,54.0,37.0,54.0,39.0,55.0,40.0,54.0,40.0,52.0,36.0,45.219,55.0,32,22.390,46.206,50
1787047912.000,2026-08-18T10:11:52.000Z,gnb1,2,pre,25000,1,0.0,0.0,1.3,855588,1666488,64,0.72,15,51.0,38.0,50.0,36.0,51.0,35.0,49.0,36.0,51.0,36.0,48.0,38.0,49.0,36.0,52.0,37.0,55.0,41.0,54.0,37.0,55.0,38.0,55.0,38.0,55.0,37.0,55.0,37.0,54.0,35.0,50.0,38.0,44.594,55.0,32,22.390,46.206,50
1787047914.000,2026-08-18T10:11:54.000Z,gnb1,1,pre,135000,1,0.0,0.0,1.3,855588,1666488,69,0.72,15,49.0,41.0,49.0,38.0,48.0,39.0,48.0,41.0,49.0,39.0,48.0,33.0,51.0,37.0,54.0,36.0,54.0,42.0,54.0,38.0,54.0,38.0,53.0,35.0,53.0,37.0,55.0,32.0,55.0,37.0,51.0,37.0,44.531,55.0,32,22.390,46.206,50
1787047917.000,2026-08-18T10:11:57.000Z,gnb1,2,pre,30000,1,0.0,0.0,1.3,855588,1666488,65,0.72,15,49.0,43.0,50.0,41.0,48.0,44.0,48.0,41.0,48.0,43.0,47.0,42.0,49.0,43.0,50.0,43.0,53.0,45.0,53.0,42.0,54.0,41.0,53.0,40.0,53.0,43.0,53.0,41.0,53.0,43.0,47.0,43.0,46.438,54.0,32,22.390,46.206,50
1787047919.000,2026-08-18T10:11:59.000Z,gnb1,1,pre,140000,1,0.0,0.0,1.3,855588,1666488,69,0.69,15,50.0,42.0,48.0,37.0,49.0,34.0,49.0,43.0,50.0,38.0,47.0,39.0,48.0,39.0,53.0,41.0,54.0,40.0,53.0,38.0,54.0,37.0,54.0,43.0,53.0,37.0,55.0,42.0,53.0,41.0,50.0,40.0,45.344,55.0,32,22.390,46.206,50
1787047922.000,2026-08-18T10:12:02.000Z,gnb1,2,pre,35000,1,0.0,0.0,1.3,855588,1666488,65,0.72,15,48.0,41.0,48.0,40.0,48.0,38.0,47.0,39.0,47.0,38.0,46.0,37.0,45.0,39.0,51.0,41.0,51.0,38.0,51.0,41.0,52.0,38.0,52.0,36.0,52.0,38.0,52.0,37.0,49.0,39.0,49.0,40.0,44.0,52.0,32,22.390,46.206,50
1787047924.000,2026-08-18T10:12:04.000Z,gnb1,1,pre,145000,1,0.0,0.0,1.3,855588,1666488,69,0.69,15,50.0,39.0,49.0,38.0,49.0,40.0,49.0,37.0,49.0,36.0,48.0,38.0,50.0,34.0,53.0,35.0,54.0,37.0,54.0,41.0,54.0,36.0,53.0,38.0,53.0,38.0,55.0,38.0,55.0,36.0,50.0,40.0,44.562,55.0,32,22.390,46.206,50
1787047927.000,2026-08-18T10:12:07.000Z,gnb1,2,pre,40000,1,0.0,0.0,1.3,855588,1666488,65,0.78,15,49.0,40.0,48.0,41.0,47.0,39.0,47.0,41.0,48.0,38.0,46.0,42.0,47.0,41.0,51.0,43.0,52.0,42.0,52.0,41.0,52.0,42.0,51.0,41.0,52.0,41.0,53.0,42.0,52.0,43.0,49.0,43.0,45.5,53.0,32,22.390,46.206,50
1787047929.000,2026-08-18T10:12:09.000Z,gnb1,1,pre,150000,1,0.0,0.0,1.3,855588,1666488,69,0.69,15,49.0,36.0,49.0,36.0,47.0,41.0,46.0,34.0,49.0,38.0,44.0,36.0,46.0,36.0,51.0,37.0,53.0,33.0,53.0,33.0,53.0,40.0,52.0,35.0,52.0,40.0,51.0,40.0,49.0,41.0,49.0,38.0,43.344,53.0,32,22.390,46.206,50
1787047932.000,2026-08-18T10:12:12.000Z,gnb1,2,pre,45000,1,0.0,0.0,1.3,855588,1666488,65,0.75,15,48.0,40.0,50.0,39.0,49.0,36.0,48.0,37.0,47.0,38.0,47.0,42.0,48.0,38.0,51.0,37.0,54.0,40.0,54.0,39.0,55.0,38.0,54.0,40.0,52.0,38.0,53.0,43.0,53.0,40.0,47.0,41.0,44.875,55.0,32,22.390,46.206,50
1787047934.000,2026-08-18T10:12:14.000Z,gnb1,1,pre,155000,1,0.0,0.0,1.3,855588,1666488,69,0.69,15,48.0,39.0,48.0,41.0,47.0,39.0,47.0,40.0,47.0,36.0,44.0,39.0,47.0,38.0,51.0,37.0,52.0,36.0,51.0,39.0,52.0,39.0,52.0,38.0,50.0,37.0,52.0,39.0,52.0,35.0,48.0,37.0,43.656,52.0,32,22.390,46.206,50
1787047937.000,2026-08-18T10:12:17.000Z,gnb1,2,pre,50000,1,0.0,0.0,1.3,855588,1666488,66,0.75,15,49.0,37.0,48.0,38.0,49.0,39.0,48.0,41.0,48.0,39.0,46.0,39.0,49.0,40.0,52.0,39.0,53.0,40.0,54.0,36.0,54.0,41.0,53.0,40.0,52.0,39.0,54.0,37.0,53.0,41.0,50.0,38.0,44.875,54.0,32,22.390,46.206,50
1787047939.000,2026-08-18T10:12:19.000Z,gnb1,1,pre,160000,1,0.0,0.0,1.3,855588,1666488,70,0.72,15,48.0,38.0,47.0,39.0,48.0,36.0,48.0,39.0,47.0,35.0,46.0,40.0,46.0,36.0,52.0,39.0,53.0,40.0,51.0,40.0,52.0,37.0,51.0,40.0,52.0,38.0,53.0,39.0,52.0,40.0,49.0,37.0,44.0,53.0,32,22.390,46.206,50
1787047942.000,2026-08-18T10:12:22.000Z,gnb1,2,pre,55000,1,0.0,0.0,1.3,855588,1666488,66,0.72,15,49.0,40.0,48.0,43.0,47.0,39.0,47.0,39.0,47.0,41.0,46.0,40.0,48.0,42.0,52.0,42.0,53.0,45.0,53.0,43.0,52.0,36.0,53.0,40.0,52.0,39.0,54.0,39.0,53.0,38.0,50.0,44.0,45.438,54.0,32,22.390,46.206,50
1787047944.000,2026-08-18T10:12:24.000Z,gnb1,1,pre,165000,1,0.0,0.0,1.3,855588,1666488,70,0.69,15,50.0,38.0,49.0,32.0,49.0,37.0,50.0,37.0,51.0,34.0,47.0,38.0,49.0,38.0,53.0,36.0,54.0,35.0,54.0,33.0,53.0,37.0,55.0,38.0,53.0,35.0,54.0,38.0,55.0,37.0,51.0,36.0,43.938,55.0,32,22.390,46.206,50
1787047947.000,2026-08-18T10:12:27.000Z,gnb1,2,pre,60000,1,0.0,0.0,1.3,855588,1666488,66,0.72,15,50.0,42.0,50.0,37.0,49.0,38.0,49.0,40.0,49.0,36.0,46.0,39.0,50.0,40.0,53.0,39.0,54.0,39.0,54.0,38.0,53.0,37.0,53.0,40.0,53.0,35.0,52.0,39.0,53.0,37.0,50.0,39.0,44.781,54.0,32,22.390,46.206,50
1787047949.000,2026-08-18T10:12:29.000Z,gnb1,1,pre,170000,1,0.0,0.0,1.3,855588,1666488,70,0.69,15,47.0,39.0,47.0,39.0,47.0,39.0,46.0,38.0,47.0,39.0,45.0,30.0,46.0,43.0,51.0,40.0,52.0,40.0,52.0,39.0,52.0,39.0,51.0,40.0,52.0,38.0,52.0,31.0,51.0,40.0,49.0,40.0,43.781,52.0,32,22.390,46.206,50
1787047952.000,2026-08-18T10:12:32.000Z,gnb1,2,pre,65000,1,0.0,0.0,1.3,855588,1666488,66,0.72,15,49.0,38.0,48.0,41.0,49.0,36.0,48.0,39.0,50.0,41.0,47.0,41.0,49.0,39.0,54.0,40.0,54.0,40.0,54.0,42.0,54.0,35.0,54.0,40.0,54.0,39.0,55.0,41.0,53.0,40.0,51.0,39.0,45.438,55.0,32,22.390,46.206,50
1787047954.000,2026-08-18T10:12:34.000Z,gnb1,1,pre,175000,1,0.0,0.0,1.3,855588,1666488,70,0.72,15,49.0,38.0,49.0,40.0,48.0,39.0,48.0,41.0,48.0,40.0,45.0,37.0,47.0,38.0,52.0,37.0,54.0,36.0,53.0,40.0,53.0,37.0,52.0,39.0,52.0,40.0,53.0,37.0,52.0,40.0,50.0,35.0,44.344,54.0,32,22.390,46.206,50
1787047957.000,2026-08-18T10:12:37.000Z,gnb1,2,pre,70000,1,0.0,0.0,1.3,855588,1666488,66,0.75,15,49.0,38.0,49.0,40.0,50.0,38.0,49.0,40.0,49.0,39.0,48.0,41.0,48.0,38.0,53.0,39.0,53.0,37.0,53.0,38.0,54.0,40.0,52.0,40.0,52.0,38.0,54.0,37.0,52.0,38.0,51.0,41.0,44.938,54.0,32,22.390,46.206,50
1787047959.000,2026-08-18T10:12:39.000Z,gnb1,1,pre,180000,1,0.0,0.0,1.3,855588,1666488,70,0.69,15,49.0,41.0,48.0,40.0,49.0,39.0,48.0,41.0,46.0,38.0,45.0,41.0,47.0,35.0,49.0,39.0,53.0,37.0,53.0,42.0,53.0,40.0,53.0,40.0,52.0,36.0,54.0,41.0,52.0,35.0,47.0,40.0,44.469,54.0,32,22.390,46.206,50
1787047962.000,2026-08-18T10:12:42.000Z,gnb1,2,pre,75000,1,0.0,0.0,1.3,855588,1666488,67,0.72,15,50.0,41.0,49.0,36.0,48.0,38.0,47.0,39.0,49.0,38.0,47.0,39.0,48.0,37.0,53.0,38.0,53.0,42.0,53.0,36.0,53.0,37.0,54.0,39.0,53.0,37.0,54.0,39.0,53.0,38.0,51.0,40.0,44.656,54.0,32,22.390,46.206,50
1787047964.000,2026-08-18T10:12:44.000Z,gnb1,1,pre,185000,1,0.0,0.0,1.3,855588,1666488,70,0.69,15,49.0,40.0,48.0,41.0,48.0,37.0,48.0,39.0,48.0,37.0,47.0,38.0,46.0,40.0,53.0,41.0,53.0,41.0,53.0,42.0,53.0,41.0,54.0,40.0,53.0,36.0,53.0,36.0,50.0,41.0,48.0,41.0,44.844,54.0,32,22.390,46.206,50
1787047967.000,2026-08-18T10:12:47.000Z,gnb1,2,pre,80000,1,0.0,0.0,1.3,855588,1666488,67,0.72,15,49.0,37.0,49.0,38.0,48.0,37.0,48.0,39.0,47.0,39.0,46.0,42.0,50.0,41.0,53.0,41.0,54.0,42.0,53.0,40.0,53.0,37.0,54.0,37.0,50.0,39.0,54.0,40.0,54.0,41.0,50.0,41.0,45.094,54.0,32,22.390,46.206,50
1787047969.000,2026-08-18T10:12:49.000Z,gnb1,1,pre,190000,1,0.0,0.0,1.3,855588,1666488,71,0.69,15,51.0,38.0,51.0,38.0,52.0,32.0,49.0,32.0,49.0,33.0,49.0,34.0,50.0,35.0,54.0,39.0,55.0,34.0,54.0,37.0,55.0,31.0,54.0,31.0,54.0,35.0,56.0,34.0,54.0,36.0,52.0,39.0,43.656,56.0,32,22.390,46.206,50
1787047972.000,2026-08-18T10:12:52.000Z,gnb1,2,pre,85000,1,0.0,0.0,1.3,855588,1666488,67,0.69,15,50.0,38.0,49.0,38.0,48.0,36.0,48.0,38.0,48.0,35.0,47.0,38.0,48.0,38.0,54.0,36.0,53.0,41.0,54.0,39.0,55.0,37.0,53.0,40.0,52.0,36.0,52.0,37.0,54.0,38.0,50.0,36.0,44.25,55.0,32,22.390,46.206,50
1787047974.000,2026-08-18T10:12:54.000Z,gnb1,1,pre,195000,1,0.0,0.0,1.3,855588,1666488,71,0.69,15,49.0,38.0,48.0,34.0,48.0,34.0,47.0,38.0,49.0,36.0,47.0,36.0,47.0,38.0,52.0,41.0,53.0,38.0,52.0,35.0,54.0,30.0,53.0,38.0,54.0,36.0,53.0,39.0,53.0,38.0,49.0,39.0,43.625,54.0,32,22.390,46.206,50
1787047977.000,2026-08-18T10:12:57.000Z,gnb1,2,pre,90000,1,0.0,0.0,1.3,855588,1666488,67,0.69,15,50.0,38.0,49.0,38.0,49.0,36.0,49.0,38.0,51.0,34.0,47.0,43.0,48.0,38.0,48.0,40.0,53.0,41.0,54.0,39.0,54.0,36.0,54.0,37.0,54.0,39.0,55.0,42.0,52.0,35.0,46.0,40.0,44.594,55.0,32,22.390,46.206,50
1787047979.000,2026-08-18T10:12:59.000Z,gnb1,1,pre,200000,1,0.0,0.0,1.3,855588,1666488,71,0.75,15,49.0,43.0,49.0,41.0,48.0,45.0,48.0,46.0,48.0,39.0,46.0,44.0,47.0,43.0,53.0,45.0,55.0,43.0,54.0,42.0,54.0,44.0,54.0,45.0,52.0,39.0,54.0,45.0,54.0,40.0,50.0,43.0,46.938,55.0,32,22.390,46.206,50
1787047982.000,2026-08-18T10:13:02.000Z,gnb1,2,pre,95000,1,0.0,0.0,1.3,855588,1666488,68,0.72,15,51.0,35.0,49.0,33.0,50.0,33.0,49.0,38.0,50.0,34.0,48.0,37.0,49.0,33.0,55.0,34.0,55.0,35.0,54.0,34.0,54.0,35.0,54.0,39.0,54.0,34.0,54.0,39.0,54.0,34.0,51.0,33.0,43.469,55.0,32,22.390,46.206,50
