ue_count,n_samples,source,cpu_pct_proc_mean,cpu_user_pct_mean,cpu_sys_pct_mean,cpu_freq_mhz_mean,irq_rate_mean,mem_used_mb_mean,temp_c_mean,rapl_pkg0_w_mean,rapl_dram_w_mean,ipc_mean,dl_brate_mbps_mean,ul_brate_mbps_mean,active_slots_mean,dl_mcs_avg_mean,ul_mcs_avg_mean,dl_cqi_avg_mean,ul_snr_avg_mean,dl_prb_avg_mean,ul_prb_avg_mean,dl_bler_mean,ul_bler_mean,cpu_pct_proc_std,cpu_user_pct_std,cpu_sys_pct_std,cpu_freq_mhz_std,irq_rate_std,mem_used_mb_std,temp_c_std,rapl_pkg0_w_std,rapl_dram_w_std,ipc_std,dl_brate_mbps_std,ul_brate_mbps_std,active_slots_std,dl_mcs_avg_std,ul_mcs_avg_std,dl_cqi_avg_std,ul_snr_avg_std,dl_prb_avg_std,ul_prb_avg_std,dl_bler_std,ul_bler_std
13,28,measured,31.1714,12.2571,16.8393,1264.75,1937424.0357,39406.3571,66.9286,18.5889,2.0904,0.0,0.1502,6.8537,40.0,12.9568,0.0,0.0,109.3736,0.0,40.7164,0.0,0.0,1.8543,0.8271,0.7767,47.8738,37594.3982,54.007,0.6042,0.5613,0.0732,0.0,0.1453,6.444,0.0,0.5722,0.0,0.0,0.2882,0.0,0.5238,0.0,0.0
14,29,measured,33.3241,13.3448,17.4207,1323.9655,1980608.6552,39641.1379,67.4828,19.9145,2.371,0.0,0.6817,30.9261,40.0,13.2994,0.0,0.0,109.5187,0.0,41.9415,0.0,0.0,0.8096,0.5166,0.3986,45.4914,5793.233,57.4455,0.5745,0.4476,0.0647,0.0,0.1952,9.0483,0.0,0.211,0.0,0.0,0.1004,0.0,0.5814,0.0,0.0
15,28,measured,33.15,13.6964,16.8036,1388.8571,2006060.6786,39781.8571,67.9643,21.5243,2.5582,0.0,1.6136,75.231,40.0,13.6833,0.0,0.0,109.3768,0.0,43.099,0.0,0.0,0.8622,0.3825,0.546,45.9764,8489.6461,29.2521,0.7445,0.5506,0.0889,0.0,0.306,14.0028,0.0,0.241,0.0,0.0,0.0789,0.0,0.2435,0.0,0.0
16,28,measured,33.0107,13.5714,16.675,1396.3214,2011559.4643,39828.6786,68.7143,21.9239,2.7532,0.0,2.1178,100.0437,40.0,13.3758,0.0,0.0,109.3542,0.0,43.1998,0.0,0.0,0.6893,0.3365,0.3845,47.4951,4937.157,14.1449,0.6587,0.5535,0.0447,0.0,0.0771,2.2074,0.0,0.1737,0.0,0.0,0.0338,0.0,0.0709,0.0,0.0
17,29,measured,33.8517,13.9241,16.9862,1366.0,2010097.5172,39880.8276,68.4483,21.5286,2.7869,0.0,2.4596,111.5605,40.0,13.4251,0.0,0.0,109.3323,0.0,43.3138,0.0,0.0,0.9425,0.4381,0.518,44.6974,8069.6117,21.1998,0.8275,0.8102,0.0277,0.0,0.1377,6.034,0.0,0.1604,0.0,0.0,0.0312,0.0,0.0807,0.0,0.0
18,28,measured,33.7857,13.9143,16.9286,1384.0,2016997.6071,39924.4643,68.6071,21.8489,2.8114,0.0,2.4209,108.6843,40.0,13.5875,0.0,0.0,109.3227,0.0,43.4353,0.0,0.0,0.761,0.3535,0.4017,52.9969,6829.2903,14.5028,0.6289,0.783,0.0584,0.0,0.2521,7.7299,0.0,0.1967,0.0,0.0,0.0531,0.0,0.0747,0.0,0.0
19,28,measured,33.2571,13.7,16.725,1424.9286,2016995.4286,39965.3571,68.3929,21.9536,2.7493,0.0,2.1097,100.4691,40.0,13.5524,0.0,0.0,109.3997,0.0,43.3519,0.0,0.0,1.1094,0.5689,0.4835,61.4991,5441.4102,17.032,0.786,0.7899,0.0502,0.0,0.1134,4.6982,0.0,0.1527,0.0,0.0,0.0512,0.0,0.0581,0.0,0.0
20,29,measured,33.2655,13.7655,16.7034,1388.2414,2016307.3793,40006.931,68.1034,21.501,2.6131,0.0,1.8955,90.4378,40.0,14.2562,0.0,0.0,109.4215,0.0,43.2268,0.0,0.0,0.8182,0.3958,0.5102,42.5858,6125.3495,15.9641,0.6179,0.7806,0.0355,0.0,0.0659,3.5507,0.0,0.1829,0.0,0.0,0.0341,0.0,0.061,0.0,0.0
21,29,measured,33.2172,13.7966,16.7724,1380.3448,2006924.0,40053.069,68.3448,21.5838,2.5876,0.0,1.9903,94.2098,40.0,13.7119,0.0,0.0,109.3999,0.0,43.1651,0.0,0.0,0.922,0.4263,0.5915,52.0455,12200.7062,20.1936,0.7209,0.7762,0.0366,0.0,0.1131,5.6196,0.0,0.2479,0.0,0.0,0.0383,0.0,0.0767,0.0,0.0
22,28,measured,33.1321,13.8071,16.6964,1419.9643,2001976.8571,40099.7857,68.1429,21.5307,2.5279,0.0,1.8462,86.7234,40.0,13.5942,0.0,0.0,109.4262,0.0,43.1141,0.0,0.0,1.0428,0.4883,0.596,69.5192,7184.5447,13.2059,0.5909,0.878,0.0479,0.0,0.1628,6.1585,0.0,0.1516,0.0,0.0,0.042,0.0,0.1154,0.0,0.0
