ue_id,gnb,timestamp,tti,event,rnti,pdsch_nof_prb,pdsch_tbs,pdsch_mcs,pdsch_rv,pusch_rb_start,pusch_rb_len,pusch_tbs,pusch_mod,pusch_snr,pusch_proc_us,pucch_snr,pucch_cqi,pucch_f,phr_val,bsr_val
50,gnb1,2026-08-19T09:47:14.096991,342,PDSCH,0x2,3,11,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:14.124993,344,BSR,0x46,,,,,,,,,,,,,,,0
50,gnb1,2026-08-19T09:47:14.249788,352,PUSCH,0x46,,,,,2,2,7,2,118.0,164,,,,,
50,gnb1,2026-08-19T09:47:14.278232,354,PDSCH,0x46,3,32,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:14.384399,361,PUCCH_CQI,0x46,,,,,,,,,,,-inf,0,2,,
50,gnb1,2026-08-19T09:47:14.668659,380,BSR,0x46,,,,,,,,,,,,,,,0
50,gnb1,2026-08-19T09:47:14.794122,388,PHR,,,,,,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:14.794123,388,PUSCH,0x46,,,,,2,44,157,2,109.0,706,,,,,
50,gnb1,2026-08-19T09:47:14.812484,389,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:14.838238,391,PDSCH,0x46,6,51,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:14.972811,400,BSR,0x46,,,,,,,,,,,,,,,0
50,gnb1,2026-08-19T09:47:14.988465,401,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb1,2026-08-19T09:47:15.092323,408,PUSCH,0x46,,,,,2,8,517,4,111.4,292,,,,,
50,gnb1,2026-08-19T09:47:15.106890,409,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:15.123220,410,PDSCH,0x46,3,41,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:15.269000,420,BSR,0x46,,,,,,,,,,,,,,,0
50,gnb1,2026-08-19T09:47:15.403332,428,PUSCH,0x46,,,,,2,8,517,4,111.4,198,,,,,
50,gnb1,2026-08-19T09:47:15.418228,429,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:15.435752,430,PDSCH,0x46,3,26,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:15.589594,440,BSR,0x46,,,,,,,,,,,,,,,0
50,gnb1,2026-08-19T09:47:15.602849,441,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb1,2026-08-19T09:47:15.710277,448,PUSCH,0x46,,,,,2,8,517,4,111.4,219,,,,,
50,gnb1,2026-08-19T09:47:15.710372,448,PHR,,,,,,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:15.718758,449,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:15.735659,450,PDSCH,0x46,3,18,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:15.886359,460,BSR,0x46,,,,,,,,,,,,,,,0
50,gnb1,2026-08-19T09:47:16.012404,468,PUSCH,0x46,,,,,2,8,517,4,111.4,250,,,,,
50,gnb1,2026-08-19T09:47:16.028393,469,PDSCH,0x46,3,22,2,0,,,,,,,,,,,
50,gnb1,2026-08-19T09:47:16.190141,480,BSR,0x46,,,,,,,,,,,,,,,0
